CODVIA;DENOMINAZIONE
23150;VIA PIETRO FIORINI
23200;VIA FIORITA
23230;VIA FIRENZE
23250;VIA ALESSANDRO FLEMING
23270;VIA FRANCESCO FLORA
23280;VIA ANTONIO FOGAZZARO
23300;VIA FONDAZZA
23330;VIA DEL FONDITORE
23350;VIA PROSPERO FONTANA
23400;VIA ANTONIO FONTANESI
23430;VIA FONTANINA
23450;VIA DELLE FONTI
23470;VIA FONTI DI CASAGLIA
23480;VIA FORLI'
23500;VIA DELLA FORNACE
23520;VIA DEI FORNACIAI
23550;VIA DON GIOVANNI FORNASINI
23570;ROTONDA ARNALDO FORNI
23580;VIA GHERARDO FORNI
23600;VIA DEL FORTE
23640;VIA PAOLO FORTUNATI
23650;VIA FERNANDO FORTUZZI
23700;VIA DELLA FOSCHERARA
23750;VIA DE' FOSCHERARI
23800;VIA UGO FOSCOLO
23820;VIA FOSSA CAVA
23850;VIA FOSSALTA
23900;VIA DEL FOSSATO
23950;VIA DELLE FOSSE ARDEATINE
24000;VIA FOSSOLO
24050;VIA FRABAZZA
24100;VIA DELLE FRAGOLE
24150;VIA MARCANTONIO FRANCESCHINI
24200;PIAZZA S.FRANCESCO
24250;VIA ALBERTO FRANCHETTI
24300;PIAZZA DEL FRANCIA
24350;VIA CARLO FRANCIONI
24400;VIA FRANCO BOLOGNESE
24410;VIA ANNA FRANK
24420;VIA FRANCOFORTE
24430;VIA DELLA FRASCA
24450;VIA FRASSINAGO
24480;VIA LODOVICO FRATI
24500;VIA DELLA FRATTA
24550;VIA S.FREDIANO
24600;VIA LEOPOLDO FREGOLI
24630;VIA DEL FRESATORE
24650;VIA GIROLAMO FRESCOBALDI
24700;VIA DI FRINO
24710;VIA PAOLO FRISI
24730;VIA FRIULI-VENEZIA GIULIA
24740;VIA RENATO FUCINI
24750;VIA DE' FUSARI
24760;VIA DELLA GABELLA
24770;VIA GIUSEPPE GABUSSI
24780;VIA YURI GAGARIN
24790;ROTONDA ARMANDO GAGLIANI
24800;VIA GAIBARA
24850;VIA DI GAIBOLA
24900;VIA GALEAZZA
24950;VIA ERMANNO GALEOTTI
25000;PIAZZA GALILEO
25050;VIA DUCCIO GALIMBERTI
25100;VIA GIUSEPPE GALLETTI
25150;VIA AUGUSTO GALLI
25200;VIA GALLIERA
